cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
0,2572411.756332,,40-49,2012,0,135,-520511347
0,2685233.691991,,40-49,2013,0,135,-520511347
0,2637278.269679,,40-49,2014,0,135,-520511347
0,2471380.054757,,40-49,2015,0,135,-520511347
525,2480123.247091,,40-49,2016,0.21168302850101742,135,-520511347
551,2542621.724846,,40-49,2017,0.2167054558748304,135,-520511347
569,2470663.457905,,40-49,2018,0.23030251173200406,135,-520511347
564,2330275.4113620003,,40-49,2019,0.24203147715932558,135,-520511347
601,2105630.877482,,40-49,2020,0.2854251457020333,135,-520511347
632,1685828.711841,,40-49,2021,0.3748898067525661,135,-520511347
575,1136797.138946,,40-49,2022,0.5058070435795788,135,-520511347
233,196475.170432,,40-49,2023,1.1859004854796205,135,-520511347
0,444838.41752200003,,50-59,2007,0,135,-520511347
0,951626.0287469999,,50-59,2008,0,135,-520511347
0,1644869.590691,,50-59,2009,0,135,-520511347
0,2315832.774812,,50-59,2010,0,135,-520511347
0,2800152.971937,,50-59,2011,0,135,-520511347
0,3077361.1279949998,,50-59,2012,0,135,-520511347
0,3300937.177276,,50-59,2013,0,135,-520511347
0,3327818.537987,,50-59,2014,0,135,-520511347
0,3159051.9561940003,,50-59,2015,0,135,-520511347
1082,3192075.5674199997,,50-59,2016,0.3389644064330621,135,-520511347
1276,3283030.8282,,50-59,2017,0.38866525073101355,135,-520511347
1416,3188965.900069,,50-59,2018,0.4440310885636506,135,-520511347
1352,3003398.10267,,50-59,2019,0.45015677368847024,135,-520511347
1450,2717273.69473,,50-59,2020,0.5336230953886587,135,-520511347
1449,2177675.876797,,50-59,2021,0.6653882772174703,135,-520511347
1466,1458906.072553,,50-59,2022,1.0048624977169271,135,-520511347
571,251058.360027,,50-59,2023,2.2743715841153107,135,-520511347
0,754245.1143049999,,60-69,2007,0,135,-520511347
0,784047.14579,,60-69,2008,0,135,-520511347
0,1387520.320328,,60-69,2009,0,135,-520511347
0,1965198.069815,,60-69,2010,0,135,-520511347
0,2401170.924024,,60-69,2011,0,135,-520511347
0,2665841.114305,,60-69,2012,0,135,-520511347
0,2906041.793292,,60-69,2013,0,135,-520511347
0,3016764.925393,,60-69,2014,0,135,-520511347
0,2963083.14579,,60-69,2015,0,135,-520511347
1158,3109849.590692,,60-69,2016,0.37236527562811267,135,-520511347
1477,3307864.618754,,60-69,2017,0.4465116231257232,135,-520511347
1625,3308874.527036,,60-69,2018,0.491103541921135,135,-520511347
1641,3232799.512663,,60-69,2019,0.5076095791193175,135,-520511347
1871,3030549.8836419997,,60-69,2020,0.6173797072600908,135,-520511347
1973,2537100.577686,,60-69,2021,0.7776593554676905,135,-520511347
1995,1798779.189597,,60-69,2022,1.1090855462070148,135,-520511347
819,332940.07665999996,,60-69,2023,2.4599021187718617,135,-520511347
0,709594.9596170001,,70-79,2008,0,135,-520511347
0,1187783.789185,,70-79,2009,0,135,-520511347
0,1591087.756331,,70-79,2010,0,135,-520511347
0,1900103.931554,,70-79,2011,0,135,-520511347
0,2120248.591376,,70-79,2012,0,135,-520511347
0,2356821.166325,,70-79,2013,0,135,-520511347
0,2457388.36961,,70-79,2014,0,135,-520511347
0,2385740.301164,,70-79,2015,0,135,-520511347
1016,2595682.49692,,70-79,2016,0.39141921294517773,135,-520511347
1355,2923208.298426,,70-79,2017,0.4635317985138449,135,-520511347
1069,2419430.0123199997,,70-79,2018,0.44183960459965205,135,-520511347
1116,2449937.891855,,70-79,2019,0.4555217516779608,135,-520511347
1274,2369410.663928,,70-79,2020,0.5376864464212243,135,-520511347
1377,2057572.9801500002,,70-79,2021,0.6692350712632388,135,-520511347
1439,1517921.396304,,70-79,2022,0.9480069280951132,135,-520511347
625,303767.394935,,70-79,2023,2.0574953415712613,135,-520511347
349,616766.436687,,80-89,2018,0.5658543968032301,135,-520511347
386,671254.455852,,80-89,2019,0.5750427377201743,135,-520511347
472,697944.832307,,80-89,2020,0.6762712153621688,135,-520511347
481,651373.957563,,80-89,2021,0.7384391015563104,135,-520511347
550,524933.787816,,80-89,2022,1.04775118837042,135,-520511347
254,118954.970567,,80-89,2023,2.135261761566638,135,-520511347
0,1548906.327173,Female,,2007,0,135,-520511347
0,3306075.956195,Female,,2008,0,135,-520511347
0,5811748.876112,Female,,2009,0,135,-520511347
0,8289467.47707,Female,,2010,0,135,-520511347
0,9999839.523614999,Female,,2011,0,135,-520511347
0,10918542.406572,Female,,2012,0,135,-520511347
0,11636113.735797,Female,,2013,0,135,-520511347
0,11688915.887749,Female,,2014,0,135,-520511347
0,11100247.0308,Female,,2015,0,135,-520511347
1004,11374874.888432,Female,,2016,0.08826470707128797,135,-520511347
1320,11851425.965778,Female,,2017,0.11137900230838146,135,-520511347
1371,11672271.909651,Female,,2018,0.11745785315936774,135,-520511347
