cohort_id,concept_set_id,database_id,concept_id,concept_count,concept_subjects
144,47,-520511347,2024304227,-5,-5
144,47,-520511347,2024305160,22,11
144,47,-520511347,2024306122,617,554
144,47,-520511347,2024312889,2142,643
144,47,-520511347,2024314837,5193,1529
144,47,-520511347,2024322625,290,168
144,47,-520511347,2024323971,17237,4931
144,47,-520511347,2024328022,61,7
144,47,-520511347,2024332745,-5,-5
144,47,-520511347,2024333095,6,6
144,47,-520511347,2024356747,50,35
144,47,-520511347,2024368633,13,9
144,47,-520511347,2024377544,25,5
144,47,-520511347,2024382133,1816,1029
144,47,-520511347,2024387788,3276,797
144,47,-520511347,2024400037,16,6
144,47,-520511347,2024400086,151,144
144,47,-520511347,2024409069,21,21
144,47,-520511347,2024418438,-5,-5
144,47,-520511347,2024420749,9,9
144,47,-520511347,2024427229,-5,-5
144,47,-520511347,2024440241,90,8
144,47,-520511347,2024443819,1600,320
144,47,-520511347,2024444761,-5,-5
144,47,-520511347,2024445928,2329,779
144,47,-520511347,2024450125,3931,1514
144,47,-520511347,2024460372,108,91
144,47,-520511347,2024462214,6,5
144,47,-520511347,2024469347,22,20
144,47,-520511347,2024469711,59,58
144,47,-520511347,2024471558,-5,-5
144,47,-520511347,2024480526,148,146
144,47,-520511347,2024486924,9,8
144,47,-520511347,2024487322,2472,518
144,47,-520511347,2024496947,32850,3318
144,47,-520511347,2024502539,74,74
144,47,-520511347,2024504416,-5,-5
144,47,-520511347,2024516752,-5,-5
144,47,-520511347,2024518678,10177,2153
144,47,-520511347,2024519745,6690,2419
144,47,-520511347,2024520869,-5,-5
144,47,-520511347,2024533104,-5,-5
144,47,-520511347,2024534497,34733,9802
144,47,-520511347,2024553654,137,99
144,47,-520511347,2024554435,2325,744
144,47,-520511347,2024555119,1880,695
144,47,-520511347,2024557335,38105,8662
144,47,-520511347,2024559831,15,12
144,47,-520511347,2024569896,-5,-5
144,47,-520511347,2024572279,58608,11562
144,47,-520511347,2024575020,8131,2381
144,47,-520511347,2024596324,-5,-5
144,47,-520511347,2024599234,10,6
144,47,-520511347,2024603058,1287,123
144,47,-520511347,2024605582,139,9
144,47,-520511347,2024608516,-5,-5
144,47,-520511347,2024609994,-5,-5
144,47,-520511347,2024612663,195,64
144,47,-520511347,2024612836,402,322
144,47,-520511347,2024616657,791,721
144,47,-520511347,2024622277,52,40
144,47,-520511347,2024629640,-5,-5
144,47,-520511347,2024629748,19,19
144,47,-520511347,2024631435,25,10
