cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-520511347,2007-01-01,2007-01-31,T2,m,FEMALE,30-39,-5,-5,89,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,FEMALE,50-59,17,17,248,0,17,17,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,MALE,50-59,24,24,434,0,24,24,0,0,0,0
135,-520511347,2007-01-01,2007-01-31,T2,m,MALE,30-39,7,7,95,0,7,7,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,NULL,NA,325,325,15264,0,325,325,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,MALE,NA,210,210,9608,0,210,210,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,FEMALE,NA,115,115,5656,0,115,115,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,NULL,20-29,-5,-5,185,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,NULL,40-49,76,76,3373,0,76,76,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,NULL,60-69,126,126,5847,0,126,126,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,NULL,30-39,29,29,1281,0,29,29,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,NULL,50-59,91,91,4578,0,91,91,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,FEMALE,50-59,28,28,1659,0,28,28,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,FEMALE,20-29,-5,-5,42,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,MALE,40-49,55,55,2609,0,55,55,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,MALE,30-39,18,18,721,0,18,18,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,FEMALE,40-49,21,21,764,0,21,21,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,FEMALE,60-69,54,54,2631,0,54,54,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,MALE,50-59,63,63,2919,0,63,63,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,MALE,20-29,-5,-5,143,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,MALE,60-69,72,72,3216,0,72,72,0,0,0,0
135,-520511347,2007-01-01,2007-03-31,T2,q,FEMALE,30-39,11,11,560,0,11,11,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,NULL,NA,911,911,191674,0,911,911,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,MALE,NA,571,571,119871,0,571,571,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,No matching concept,NA,-5,-5,376,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,FEMALE,NA,336,336,71427,0,336,336,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,NULL,40-49,222,222,45043,0,222,222,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,NULL,50-59,263,263,55790,0,263,263,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,NULL,60-69,326,326,70535,0,326,326,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,NULL,30-39,86,86,17668,0,86,86,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,NULL,10-19,-5,-5,27,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,NULL,20-29,13,13,2611,0,13,13,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,FEMALE,30-39,28,28,6182,0,28,28,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,MALE,50-59,178,178,37561,0,178,178,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,No matching concept,60-69,-5,-5,88,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,MALE,30-39,58,58,11486,0,58,58,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,FEMALE,10-19,-5,-5,27,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,MALE,40-49,157,157,31978,0,157,157,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,FEMALE,60-69,154,154,32964,0,154,154,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,FEMALE,20-29,6,6,1248,0,6,6,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,No matching concept,50-59,-5,-5,288,0,-5,-5,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,MALE,60-69,171,171,37483,0,171,171,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,FEMALE,50-59,82,82,17941,0,82,82,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,FEMALE,40-49,65,65,13065,0,65,65,0,0,0,0
135,-520511347,2007-01-01,2007-12-31,T2,y,MALE,20-29,7,7,1363,0,7,7,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,NULL,NA,210,210,4754,0,78,78,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,MALE,NA,131,131,2961,0,48,48,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,FEMALE,NA,79,79,1793,0,30,30,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,NULL,40-49,44,44,1025,0,15,15,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,NULL,50-59,63,63,1447,0,22,22,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,NULL,60-69,83,83,1833,0,33,33,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,NULL,20-29,-5,-5,62,0,-5,-5,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,NULL,30-39,17,17,387,0,6,6,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,FEMALE,30-39,7,7,155,0,-5,-5,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,MALE,30-39,10,10,232,0,-5,-5,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,FEMALE,40-49,9,9,196,0,5,5,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,MALE,60-69,46,46,971,0,20,20,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,MALE,40-49,35,35,829,0,10,10,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,MALE,50-59,38,38,878,0,14,14,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,FEMALE,60-69,37,37,862,0,13,13,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,FEMALE,20-29,-5,-5,11,0,-5,-5,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,FEMALE,50-59,25,25,569,0,8,8,0,0,0,0
135,-520511347,2007-02-01,2007-02-28,T2,m,MALE,20-29,-5,-5,51,0,-5,-5,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,NULL,NA,325,325,8324,0,115,115,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,MALE,NA,210,210,5302,0,79,79,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,FEMALE,NA,115,115,3022,0,36,36,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,NULL,50-59,91,91,2449,0,28,28,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,NULL,30-39,29,29,710,0,12,12,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,NULL,20-29,-5,-5,93,0,0,0,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,NULL,60-69,126,126,3214,0,43,43,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,NULL,40-49,76,76,1858,0,32,32,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,MALE,40-49,55,55,1387,0,20,20,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,MALE,50-59,63,63,1607,0,25,25,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,MALE,60-69,72,72,1852,0,26,26,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,FEMALE,20-29,-5,-5,31,0,0,0,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,MALE,20-29,-5,-5,62,0,0,0,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,FEMALE,50-59,28,28,842,0,-5,-5,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,FEMALE,40-49,21,21,471,0,12,12,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,MALE,30-39,18,18,394,0,8,8,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,FEMALE,30-39,11,11,316,0,-5,-5,0,0,0,0
135,-520511347,2007-03-01,2007-03-31,T2,m,FEMALE,60-69,54,54,1362,0,17,17,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,NULL,NA,403,403,10847,0,78,78,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,MALE,NA,256,256,6978,0,46,46,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,FEMALE,NA,147,147,3869,0,32,32,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,NULL,30-39,39,39,983,0,10,10,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,NULL,50-59,113,113,3125,0,22,22,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,NULL,60-69,159,159,4185,0,33,33,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,NULL,20-29,5,5,113,0,-5,-5,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,NULL,40-49,87,87,2441,0,11,11,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,FEMALE,60-69,68,68,1773,0,14,14,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,FEMALE,30-39,15,15,407,0,-5,-5,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,MALE,30-39,24,24,576,0,6,6,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,FEMALE,20-29,-5,-5,53,0,-5,-5,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,MALE,40-49,62,62,1757,0,7,7,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,MALE,60-69,91,91,2412,0,19,19,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,MALE,50-59,77,77,2173,0,14,14,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,FEMALE,50-59,36,36,952,0,8,8,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,MALE,20-29,-5,-5,60,0,0,0,0,0,0,0
135,-520511347,2007-04-01,2007-04-30,T2,m,FEMALE,40-49,25,25,684,0,-5,-5,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,NULL,NA,559,559,40214,0,234,234,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,FEMALE,NA,206,206,14654,0,91,91,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,MALE,NA,353,353,25560,0,143,143,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,NULL,20-29,6,6,433,0,-5,-5,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,NULL,40-49,131,131,9022,0,55,55,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,NULL,30-39,49,49,3664,0,20,20,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,NULL,60-69,206,206,15284,0,80,80,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,NULL,50-59,167,167,11811,0,76,76,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,FEMALE,50-59,54,54,3769,0,26,26,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,FEMALE,60-69,94,94,6751,0,40,40,0,0,0,0
