cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,449523062,2015-01-01,2015-03-31,T2,q,NULL,20-29,33,33,2911,0,33,33,0,0,0,0
135,449523062,2015-01-01,2015-03-31,T2,q,NULL,40-49,1070,1070,93414,0,1070,1070,0,28,28,0
135,449523062,2015-01-01,2015-03-31,T2,q,NULL,60-69,2336,2336,205783,0,2336,2336,0,28,28,0
135,449523062,2015-01-01,2015-03-31,T2,q,NULL,30-39,260,260,22739,0,260,260,0,-5,-5,0
135,449523062,2015-01-01,2015-03-31,T2,q,NULL,70-79,3459,3459,310314,0,3459,3459,0,-5,-5,0
135,449523062,2015-01-01,2015-03-31,T2,q,NULL,10-19,12,12,1080,0,12,12,0,0,0,0
135,449523062,2015-01-01,2015-03-31,T2,q,NULL,50-59,2417,2417,212505,0,2417,2417,0,28,28,0
135,449523062,2015-01-01,2015-03-31,T2,q,FEMALE,50-59,514,514,45059,0,514,514,0,9,9,0
135,449523062,2015-01-01,2015-03-31,T2,q,MALE,70-79,1936,1936,173697,0,1936,1936,0,0,0,0
135,449523062,2015-01-01,2015-03-31,T2,q,FEMALE,20-29,11,11,990,0,11,11,0,0,0,0
135,449523062,2015-01-01,2015-03-31,T2,q,MALE,40-49,868,868,75445,0,868,868,0,24,24,0
135,449523062,2015-01-01,2015-03-31,T2,q,MALE,30-39,202,202,17668,0,202,202,0,-5,-5,0
135,449523062,2015-01-01,2015-03-31,T2,q,FEMALE,40-49,202,202,17969,0,202,202,0,-5,-5,0
135,449523062,2015-01-01,2015-03-31,T2,q,FEMALE,10-19,-5,-5,360,0,-5,-5,0,0,0,0
135,449523062,2015-01-01,2015-03-31,T2,q,MALE,10-19,8,8,720,0,8,8,0,0,0,0
135,449523062,2015-01-01,2015-03-31,T2,q,FEMALE,70-79,1523,1523,136617,0,1523,1523,0,-5,-5,0
135,449523062,2015-01-01,2015-03-31,T2,q,FEMALE,60-69,667,667,58776,0,667,667,0,10,10,0
135,449523062,2015-01-01,2015-03-31,T2,q,MALE,50-59,1903,1903,167446,0,1903,1903,0,19,19,0
135,449523062,2015-01-01,2015-03-31,T2,q,MALE,20-29,22,22,1921,0,22,22,0,0,0,0
135,449523062,2015-01-01,2015-03-31,T2,q,MALE,60-69,1669,1669,147007,0,1669,1669,0,18,18,0
135,449523062,2015-01-01,2015-03-31,T2,q,FEMALE,30-39,58,58,5071,0,58,58,0,-5,-5,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,NA,10486,10451,3560430,0,10486,10451,0,457,457,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,NA,7269,7244,2458047,0,7269,7244,0,337,337,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,NA,3217,3207,1102383,0,3217,3207,0,120,120,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,40-49,1264,1255,401621,0,1264,1255,0,107,107,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,50-59,2747,2733,902444,0,2747,2733,0,164,164,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,70-79,3519,3518,1268125,0,3519,3518,0,32,32,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,60-69,2591,2581,872005,0,2591,2581,0,131,131,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,30-39,307,306,98308,0,307,306,0,20,20,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,10-19,15,15,4931,0,15,15,0,-5,-5,0
135,449523062,2015-01-01,2015-12-31,T2,y,NULL,20-29,43,43,12996,0,43,43,0,-5,-5,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,70-79,1547,1546,557221,0,1547,1546,0,20,20,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,30-39,70,70,22489,0,70,70,0,-5,-5,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,50-59,2147,2139,709819,0,2147,2139,0,128,128,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,30-39,237,236,75819,0,237,236,0,17,17,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,10-19,7,7,2011,0,7,7,0,0,0,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,40-49,1025,1016,325437,0,1025,1016,0,88,88,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,60-69,741,738,247746,0,741,738,0,42,42,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,20-29,13,13,4107,0,13,13,0,0,0,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,10-19,8,8,2920,0,8,8,0,-5,-5,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,70-79,1972,1972,710904,0,1972,1972,0,12,12,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,60-69,1850,1843,624259,0,1850,1843,0,89,89,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,50-59,600,594,192625,0,600,594,0,36,36,0
135,449523062,2015-01-01,2015-12-31,T2,y,FEMALE,40-49,239,239,76184,0,239,239,0,19,19,0
135,449523062,2015-01-01,2015-12-31,T2,y,MALE,20-29,30,30,8889,0,30,30,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,NA,9425,9425,263900,0,117,117,0,29,29,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,NA,6483,6483,181524,0,90,90,0,21,21,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,NA,2942,2942,82376,0,27,27,0,8,8,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,40-49,1040,1040,29120,0,28,28,0,8,8,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,50-59,2356,2356,65968,0,39,39,0,7,7,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,70-79,3450,3450,96600,0,13,13,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,60-69,2282,2282,63896,0,31,31,0,10,10,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,20-29,32,32,896,0,0,0,0,0,0,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,10-19,12,12,336,0,0,0,0,0,0,0
135,449523062,2015-02-01,2015-02-28,T2,m,NULL,30-39,253,253,7084,0,6,6,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,30-39,56,56,1568,0,-5,-5,0,0,0,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,40-49,200,200,5600,0,-5,-5,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,30-39,197,197,5516,0,5,5,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,60-69,1631,1631,45668,0,23,23,0,8,8,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,40-49,840,840,23520,0,26,26,0,7,7,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,70-79,1519,1519,42532,0,5,5,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,50-59,1855,1855,51940,0,28,28,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,60-69,651,651,18228,0,8,8,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,20-29,11,11,308,0,0,0,0,0,0,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,10-19,-5,-5,112,0,0,0,0,0,0,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,10-19,8,8,224,0,0,0,0,0,0,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,70-79,1931,1931,54068,0,8,8,0,0,0,0
135,449523062,2015-02-01,2015-02-28,T2,m,FEMALE,50-59,501,501,14028,0,11,11,0,-5,-5,0
135,449523062,2015-02-01,2015-02-28,T2,m,MALE,20-29,21,21,588,0,0,0,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,NA,9524,9524,295244,0,128,128,0,28,28,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,NA,6564,6564,203484,0,102,102,0,20,20,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,NA,2960,2960,91760,0,26,26,0,8,8,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,50-59,2399,2399,74369,0,50,50,0,10,10,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,30-39,257,257,7967,0,6,6,0,-5,-5,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,20-29,33,33,1023,0,-5,-5,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,60-69,2317,2317,71827,0,45,45,0,9,9,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,10-19,12,12,372,0,0,0,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,70-79,3456,3456,107136,0,8,8,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,NULL,40-49,1050,1050,32550,0,18,18,0,8,8,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,40-49,849,849,26319,0,16,16,0,5,5,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,50-59,1893,1893,58683,0,42,42,0,9,9,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,10-19,-5,-5,124,0,0,0,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,60-69,1657,1657,51367,0,34,34,0,6,6,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,20-29,11,11,341,0,0,0,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,20-29,22,22,682,0,-5,-5,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,50-59,506,506,15686,0,8,8,0,-5,-5,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,70-79,1936,1936,60016,0,5,5,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,40-49,201,201,6231,0,-5,-5,0,-5,-5,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,30-39,199,199,6169,0,-5,-5,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,MALE,10-19,8,8,248,0,0,0,0,0,0,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,30-39,58,58,1798,0,-5,-5,0,-5,-5,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,60-69,660,660,20460,0,11,11,0,-5,-5,0
135,449523062,2015-03-01,2015-03-31,T2,m,FEMALE,70-79,1520,1520,47120,0,-5,-5,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,NA,9584,9584,287520,0,88,88,0,28,28,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,NA,6618,6618,198540,0,74,74,0,21,21,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,NA,2966,2966,88980,0,14,14,0,7,7,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,30-39,259,259,7770,0,-5,-5,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,50-59,2418,2418,72540,0,29,29,0,14,14,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,60-69,2336,2336,70080,0,28,28,0,8,8,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,70-79,3460,3460,103800,0,-5,-5,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,10-19,12,12,360,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,20-29,33,33,990,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,NULL,40-49,1066,1066,31980,0,24,24,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,60-69,663,663,19890,0,6,6,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,30-39,59,59,1770,0,-5,-5,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,30-39,200,200,6000,0,-5,-5,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,20-29,11,11,330,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,40-49,867,867,26010,0,23,23,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,10-19,8,8,240,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,70-79,1940,1940,58200,0,-5,-5,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,60-69,1673,1673,50190,0,22,22,0,5,5,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,70-79,1520,1520,45600,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,50-59,1908,1908,57240,0,24,24,0,10,10,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,50-59,510,510,15300,0,5,5,0,-5,-5,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,10-19,-5,-5,120,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,MALE,20-29,22,22,660,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-04-30,T2,m,FEMALE,40-49,199,199,5970,0,-5,-5,0,0,0,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,NA,9766,9766,878243,0,270,270,0,95,95,0
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,NA,3012,3012,271453,0,60,60,0,25,25,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,NA,6754,6754,606790,0,210,210,0,70,70,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,20-29,35,35,3125,0,-5,-5,0,0,0,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,40-49,1100,1100,98190,0,58,58,0,18,18,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,30-39,265,265,23781,0,9,9,0,-5,-5,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,70-79,3476,3476,315496,0,20,20,0,-5,-5,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,60-69,2400,2400,215035,0,92,92,0,26,26,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,10-19,13,13,1153,0,-5,-5,0,0,0,0
135,449523062,2015-04-01,2015-06-30,T2,q,NULL,50-59,2477,2477,221463,0,88,88,0,46,46,0
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,50-59,522,522,46592,0,17,17,0,14,14,0
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,60-69,683,683,61061,0,26,26,0,8,8,0
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,10-19,5,5,425,0,-5,-5,0,0,0,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,40-49,895,895,79808,0,51,51,0,16,16,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,60-69,1717,1717,153974,0,66,66,0,18,18,0
