cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
0,165.166325,No matching concept,,2019,0,135,449523062
0,198.866529,No matching concept,,2020,0,135,449523062
0,482.09993199999997,No matching concept,,2021,0,135,449523062
-5,2339.82204,No matching concept,,2022,-2.1369146518510442,135,449523062
0,1503.411363,No matching concept,,2023,0,135,449523062
0,-5,No matching concept,70-79,2018,0,135,449523062
0,15.411362,No matching concept,10-19,2019,0,135,449523062
0,49.322382,No matching concept,60-69,2023,0,135,449523062
0,32.887064,No matching concept,20-29,2019,0,135,449523062
0,184.52293,No matching concept,50-59,2022,0,135,449523062
0,311.041752,No matching concept,40-49,2022,0,135,449523062
0,83.663244,No matching concept,0-9,2015,0,135,449523062
0,23.586585,No matching concept,10-19,2017,0,135,449523062
0,11.400411,No matching concept,0-9,2019,0,135,449523062
0,57.815195,No matching concept,30-39,2018,0,135,449523062
0,19.638604,No matching concept,60-69,2019,0,135,449523062
0,13.185489,No matching concept,0-9,2020,0,135,449523062
0,161.127995,No matching concept,10-19,2023,0,135,449523062
0,168.558522,No matching concept,40-49,2015,0,135,449523062
0,108.358658,No matching concept,40-49,2016,0,135,449523062
0,50.644764,No matching concept,30-39,2020,0,135,449523062
0,48.944559,No matching concept,10-19,2016,0,135,449523062
0,20.106776,No matching concept,50-59,2020,0,135,449523062
0,15.175907,No matching concept,60-69,2018,0,135,449523062
0,29.169062,No matching concept,70-79,2017,0,135,449523062
0,144.911704,No matching concept,20-29,2021,0,135,449523062
0,165.675565,No matching concept,0-9,2022,0,135,449523062
0,22.365503,No matching concept,60-69,2020,0,135,449523062
0,210.721424,No matching concept,20-29,2016,0,135,449523062
0,25.672827,No matching concept,40-49,2020,0,135,449523062
0,110.135524,No matching concept,30-39,2017,0,135,449523062
0,83.014374,No matching concept,40-49,2017,0,135,449523062
0,421.779603,No matching concept,20-29,2023,0,135,449523062
0,20.632444,No matching concept,10-19,2020,0,135,449523062
0,-5,No matching concept,80-89,2020,0,135,449523062
0,42.934976,No matching concept,50-59,2021,0,135,449523062
0,-5,No matching concept,80-89,2021,0,135,449523062
0,224.974675,No matching concept,50-59,2015,0,135,449523062
0,41.867214,No matching concept,30-39,2019,0,135,449523062
0,54.069815,No matching concept,20-29,2018,0,135,449523062
0,43.756331,No matching concept,0-9,2016,0,135,449523062
0,32.958248,No matching concept,40-49,2018,0,135,449523062
0,290.26694,No matching concept,20-29,2015,0,135,449523062
-5,84.952772,No matching concept,60-69,2022,-58.8562313187379,135,449523062
0,15.285421,No matching concept,10-19,2018,0,135,449523062
0,201.930185,No matching concept,30-39,2015,0,135,449523062
0,9.38809,No matching concept,0-9,2018,0,135,449523062
0,675.690623,No matching concept,30-39,2022,0,135,449523062
0,32.922656,No matching concept,50-59,2018,0,135,449523062
0,134.652977,No matching concept,0-9,2023,0,135,449523062
0,723.972621,No matching concept,20-29,2022,0,135,449523062
0,27.633128,No matching concept,0-9,2017,0,135,449523062
0,64.607803,No matching concept,40-49,2021,0,135,449523062
0,29.308693,No matching concept,0-9,2021,0,135,449523062
0,62.631075,No matching concept,60-69,2017,0,135,449523062
0,5.859001,No matching concept,80-89,2018,0,135,449523062
0,72.090349,No matching concept,20-29,2017,0,135,449523062
0,88.454483,No matching concept,50-59,2017,0,135,449523062
0,191.80835,No matching concept,10-19,2022,0,135,449523062
0,27.624914,No matching concept,60-69,2021,0,135,449523062
0,-5,No matching concept,70-79,2022,0,135,449523062
0,-5,No matching concept,70-79,2020,0,135,449523062
0,101.697467,No matching concept,10-19,2015,0,135,449523062
0,37.103354,No matching concept,70-79,2016,0,135,449523062
0,17.278576,No matching concept,50-59,2019,0,135,449523062
0,43.258042,No matching concept,20-29,2020,0,135,449523062
0,-5,No matching concept,80-89,2023,0,135,449523062
0,-5,No matching concept,80-89,2022,0,135,449523062
0,139.488022,No matching concept,70-79,2015,0,135,449523062
0,155.882272,No matching concept,30-39,2016,0,135,449523062
0,210.625599,No matching concept,60-69,2015,0,135,449523062
0,-5,No matching concept,80-89,2019,0,135,449523062
0,41.798768,No matching concept,10-19,2021,0,135,449523062
0,133.281314,No matching concept,50-59,2023,0,135,449523062
0,-5,No matching concept,70-79,2023,0,135,449523062
0,129.913758,No matching concept,30-39,2021,0,135,449523062
0,405.472964,No matching concept,30-39,2023,0,135,449523062
0,128.380561,No matching concept,50-59,2016,0,135,449523062
0,194.98152,No matching concept,40-49,2023,0,135,449523062
0,94.735113,No matching concept,60-69,2016,0,135,449523062
0,22.548939,No matching concept,40-49,2019,0,135,449523062
0,-5,No matching concept,70-79,2019,0,135,449523062
108,566110.819986,Female,50-59,2022,0.19077536797949007,135,449523062
0,1137568.971937,Female,60-69,2015,0,135,449523062
-5,550251.523614,Female,20-29,2020,-0.009086753576183621,135,449523062
188,731633.861739,Female,60-69,2019,0.2569591291922275,135,449523062
210,1211423.397673,Female,60-69,2016,0.17334979694414435,135,449523062
0,451981.705681,Female,0-9,2019,0,135,449523062
104,172777.960301,Female,80-89,2023,0.601928624570052,135,449523062
207,334970.38193,Female,80-89,2022,0.6179650833823797,135,449523062
229,681317.661875,Female,60-69,2022,0.3361134061456551,135,449523062
126,829575.017112,Female,50-59,2019,0.15188499822311896,135,449523062
0,1516576.438056,Female,10-19,2015,0,135,449523062
0,1384406.986995,Female,0-9,2015,0,135,449523062
307,880427.663244,Female,70-79,2016,0.34869417763276095,135,449523062
6,1675262.110883,Female,20-29,2016,0.00358152909984785,135,449523062
0,507378.67488,Female,0-9,2018,0,135,449523062
235,506714.214921,Female,70-79,2021,0.4637722666545639,135,449523062
0,439938.417522,Female,10-19,2020,0,135,449523062
38,580581.084189,Female,40-49,2020,0.06545166736370908,135,449523062
48,241085.68104,Female,50-59,2023,0.19909934008911973,135,449523062
0,1450290.825462,Female,0-9,2016,0,135,449523062
47,827268.481862,Female,40-49,2018,0.05681347836945668,135,449523062
32,1637516.654346,Female,30-39,2016,0.019541785981273166,135,449523062
0,865116.082136,Female,70-79,2015,0,135,449523062
0,1512435.446954,Female,40-49,2015,0,135,449523062
-5,203092.580424,Female,20-29,2023,-0.024619313958005803,135,449523062
194,675480.922656,Female,60-69,2021,0.287202781741325,135,449523062
-5,1020605.127995,Female,10-19,2017,-0.004899054357900987,135,449523062
