cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-274552186,2006-02-01,2006-02-28,T2,m,NULL,20-29,16,16,383,0,5,5,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,NULL,10-19,-5,-5,43,0,-5,-5,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,NULL,30-39,56,56,1348,0,16,16,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,FEMALE,30-39,14,14,363,0,-5,-5,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,FEMALE,40-49,49,49,1218,0,17,17,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,MALE,30-39,42,42,985,0,12,12,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,MALE,60-69,45,45,1134,0,10,10,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,MALE,40-49,139,139,3284,0,44,44,0,-5,-5,0
135,-274552186,2006-02-01,2006-02-28,T2,m,MALE,50-59,74,74,1720,0,25,25,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,FEMALE,20-29,5,5,110,0,-5,-5,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,FEMALE,60-69,37,37,894,0,10,10,0,-5,-5,0
135,-274552186,2006-02-01,2006-02-28,T2,m,MALE,10-19,-5,-5,43,0,-5,-5,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,FEMALE,50-59,27,27,673,0,8,8,0,0,0,0
135,-274552186,2006-02-01,2006-02-28,T2,m,MALE,20-29,11,11,273,0,-5,-5,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,NULL,NA,580,580,16076,0,137,137,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,MALE,NA,413,413,11416,0,101,101,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,FEMALE,NA,167,167,4660,0,36,36,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,NULL,50-59,145,145,3902,0,44,44,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,NULL,30-39,72,72,2011,0,16,16,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,NULL,20-29,22,22,590,0,6,6,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,NULL,60-69,105,105,2930,0,24,24,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,NULL,10-19,-5,-5,62,0,0,0,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,NULL,40-49,234,234,6581,0,47,47,0,-5,-5,0
