ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
37017419,43527999,2,2
37017419,42894669,2,2
37017419,2725471,2,2
37017419,42894604,2,2
37017419,42894691,2,2
37017419,2725934,2,2
37017419,2725947,2,2
37017419,42894603,2,2
37017419,2725958,2,2
37017419,3181809,3,3
37017419,4020653,3,3
37017419,42894624,2,2
37017419,2725470,2,2
37017419,2725954,2,2
37017419,2725953,2,2
37017419,2725913,2,2
37017419,2725943,2,2
37017419,2725931,2,2
40482397,2786060,2,2
40482397,4199240,2,2
42869839,42869833,1,1
43018684,42894633,1,1
43018400,42894669,1,1
45768091,35614239,5,5
312327,604429,2,2
45768091,35614247,5,5
45768091,35614250,5,5
45768091,45761737,3,3
45768091,45759254,3,3
45768091,45760132,2,2
45768091,35614224,4,4
45889556,2313879,4,4
45889556,2313878,3,3
45887874,43527996,2,2
45889556,2313881,3,3
45887874,43527999,2,2
45889556,2313914,5,5
45768345,35614209,5,5
45768345,35614254,6,6
45768345,35614217,5,5
45768345,45768093,3,3
45766114,45773170,1,1
45768345,35614219,5,5
45768345,35614227,5,5
45768345,45770937,2,2
45768345,35614221,5,5
45768345,35614202,5,5
45768345,35614243,6,6
45890104,2313913,2,2
45888982,2514414,4,5
4028367,604430,5,5
4044875,4205195,6,6
4042652,2721125,2,2
4029714,4205195,7,7
4027255,604430,3,5
4043161,4205195,5,10
4094683,604430,6,6
4117134,604430,5,6
4094683,43020460,6,6
4094683,46270161,6,6
4125501,4329659,3,3
4132088,604430,4,4
4094683,3661642,7,7
4094683,45766116,6,6
4125501,4205195,6,6
4094683,45773170,6,6
4181192,2721125,2,2
4178367,4205195,5,10
4178367,2106371,3,7
4180004,4205195,7,7
4180004,4329659,3,4
4195288,4205195,6,8
4239975,604430,4,4
4329847,604430,3,3
37116489,46270161,5,5
37116489,45773170,5,5
37116489,3661642,6,6
37116489,43020460,5,5
37116489,45766116,5,5
37116489,604430,5,5
37396230,4205195,4,6
42535258,4205195,4,4
9201,38004288,2,2
319844,45766116,3,3
9201,32254,2,2
319844,46270161,3,3
319844,43020460,3,3
319844,3661642,4,4
9201,38004281,3,3
194526,43020460,7,7
2799914,2725930,2,2
2787376,2787571,4,4
2799914,2725929,2,2
2787376,2787379,4,4
2806389,2785854,2,2
2818539,2785849,1,1
2787376,2787583,4,4
2787376,2787585,4,4
2799914,42894707,2,2
2787376,2787587,4,4
3029012,3042905,2,2
2841797,2785849,2,2
2860120,2786410,5,5
2867938,2785850,1,1
2860120,2786638,5,5
2860120,2786620,5,5
4002046,2725464,3,3
4002031,42894616,4,7
4002031,2725919,4,7
4002031,42894595,4,7
4002046,4238755,5,5
4002031,2725464,4,7
4002031,42894602,4,7
4002046,2725465,3,3
4002046,2725901,3,3
4002046,2725919,3,3
4002046,42894602,3,3
4002046,42894646,3,3
4002031,2313804,5,9
4002031,42894707,4,7
4002031,3190422,5,8
4002031,2725929,4,7
4002031,44511133,5,8
4002046,2313804,5,5
4002031,2725901,4,7
4002031,2725909,4,7
4002046,2725930,3,3
4002046,42894616,3,3
4002046,42894477,3,3
4002046,35607959,4,4
4002046,42894620,3,3
4002046,42894679,3,3
4002031,42894684,4,7
4002031,35607959,5,8
4002031,42894676,4,7
4002031,42894477,4,7
4002046,2725929,3,3
4002046,44511133,4,4
4002031,42894667,4,7
4002046,42894665,3,3
4002031,42894646,4,7
4002046,42894667,3,3
4002046,42894676,3,3
4002031,2725930,4,7
4002046,42894684,3,3
4002031,2725922,4,7
4002031,42894665,4,7
4002046,4328103,4,4
4002031,4265293,6,9
4002031,2725465,4,7
4002031,42894617,4,7
4002031,42894682,4,7
4002046,4265293,5,5
4002046,42894671,3,3
4002046,42894718,3,3
4002031,4328103,5,8
4002046,2725941,3,3
4002046,2725922,3,3
4002031,42894679,4,7
4002031,42894620,4,7
4002031,42894718,4,7
4002046,2725909,3,3
4002046,42894707,3,3
4002046,42894617,3,3
4024969,4238755,3,3
4002046,42894682,3,3
4002046,42894595,3,3
4002031,2725941,4,7
4002031,42894671,4,7
4002046,3190422,4,4
4002031,4238755,6,9
4099175,2785850,2,2
4042645,2725464,3,6
4042645,2725941,6,6
4042645,37206167,5,5
4042645,3173558,4,4
4041283,762946,2,2
4042645,2313868,4,5
4043019,2106371,2,6
4042645,2787587,5,5
4093436,2787583,3,3
4108218,45773170,1,1
4093436,2786410,3,3
4041283,4158567,1,1
4042645,44511133,7,7
4108611,45766116,5,6
4042645,37311810,3,4
4083111,2787587,2,2
4042645,42894602,6,6
4042645,42894595,3,6
4093436,2313868,2,3
4042645,2786410,5,5
4083111,2787585,2,2
4093436,2786638,3,3
4108611,45773170,5,6
4093436,4203445,2,2
4042645,43533186,4,5
4093436,2788623,3,3
4042645,42894684,6,6
4061660,2618107,2,2
4093436,2787587,3,3
4082864,2788623,1,1
4042645,42894617,6,6
4042645,42894707,6,6
4093436,2785849,2,3
4043025,2786638,5,5
4042645,2785849,2,5
4042645,42894620,6,6
4093436,2786620,3,3
4042645,2616267,6,6
4067587,2108841,1,1
4042645,2788623,5,5
4083111,2786638,2,2
4099175,37311810,1,1
4042645,4265293,8,8
4040559,2108841,3,3
4042645,2725909,6,6
4042645,2785850,2,5
4108611,3661642,6,7
4093436,2787571,2,3
4042645,4329659,4,6
4042645,2001501,4,4
4093436,2787379,3,3
4099175,2785849,2,2
4042645,2787585,5,5
4042645,35607959,7,7
4042645,42894676,6,6
4042645,2787583,5,5
4085113,4238755,2,2
4042645,2786638,5,5
4042645,2725919,6,6
4042645,43021423,5,5
4042645,2785854,2,5
4043025,2787587,5,5
4042645,2313804,8,8
4108611,43020460,5,6
4093436,2616272,3,3
4042645,2787571,5,5
4042645,2725929,6,6
4042645,2788619,5,5
4042645,42894616,6,6
4093436,2785850,2,3
4042645,40479237,5,5
4042645,42894671,6,6
4042645,42894646,6,6
4042645,2725901,3,6
4042645,4238755,5,8
4042645,42894477,3,6
4093436,43021423,3,3
4093436,40479237,3,3
4042645,43533223,4,5
4042645,2616272,5,5
4089214,4308794,1,1
4108611,46270161,5,6
4042645,3170433,4,4
4042645,2787379,5,5
4093436,2787585,3,3
4042645,42894718,6,6
4042645,2725930,6,6
4042645,42894682,6,6
4093436,2616267,4,4
4043025,2787585,5,5
4042645,2725922,3,6
4042645,4203445,4,4
4042645,4328103,7,7
4042645,2786620,5,5
4042645,4216130,3,3
4093436,2788619,3,3
4099175,2785854,2,2
4082864,2786620,2,2
4042645,3190422,7,7
4093436,2785854,2,3
4042645,42894679,6,6
4042645,2313913,4,5
4042645,42894665,6,6
4093436,4329659,2,2
4093436,37311810,2,2
4042645,2725465,3,6
4093436,37206167,3,3
4042645,42894667,6,6
4093436,2313913,2,3
4100357,2106371,4,5
4145739,2106371,0,2
4121349,35614226,5,5
4177094,2786638,4,6
4177094,4329659,4,5
4126965,4164916,3,3
4176809,2725919,1,1
4177094,2786620,4,6
4177094,40479237,5,5
4120837,2785849,2,2
4176809,42894616,1,1
4121349,35614202,5,5
4177094,2787571,4,7
4163903,2106371,2,3
4125334,35614226,7,9
4125334,35614219,7,9
4125334,35614221,7,9
4176809,42894679,1,1
4121349,35614221,5,5
4120834,2106371,2,3
4176809,42894718,1,1
4121349,35614254,6,6
4177094,37311810,4,4
4121349,35614243,6,6
4177094,2787587,4,7
4177094,2788623,4,5
4121349,35614209,5,5
4121349,35614227,5,5
4121349,45768093,3,3
4177094,2616272,5,5
4177094,2313913,4,7
4176809,42894684,1,1
4177094,2787583,3,5
4180765,4205195,3,5
4176809,42894665,1,1
4177094,2313868,4,5
4177094,2787379,4,5
4125334,35614254,8,10
4125334,35614217,7,9
4177094,2785854,3,5
4125334,35614243,8,10
4170914,4329659,2,2
4125334,45770937,4,6
4121349,35614217,5,5
4125334,45768093,5,7
4121349,45770937,2,2
4177094,4203445,4,4
4177094,43021423,5,5
4177094,37206167,5,5
4125334,35614227,7,9
4177094,2785850,3,5
4177094,2616267,6,6
4176809,42894676,1,1
4176809,42894620,1,1
4177094,2787585,4,7
4176809,42894682,1,1
4177094,2785849,3,5
4120837,37206167,2,2
4125334,35614202,7,9
4176809,2725941,1,1
4177094,2786410,4,6
4125334,35614209,7,9
4177094,2788619,4,5
4176809,42894617,1,1
4121349,35614219,5,5
4203722,2514414,3,4
4194532,2786620,2,2
4243478,42894620,4,4
4243478,2725919,4,4
4239512,4238755,2,2
4243478,42894667,4,4
4243478,4265293,6,6
4243478,42894477,4,4
4243478,42894617,4,4
4243478,4328103,5,5
4243478,42894665,4,4
4243478,42894595,4,4
4243478,44511133,5,5
4243478,42894684,4,4
4243478,2725465,4,4
4243478,42894676,4,4
4243478,2725901,4,4
4243478,2725464,4,4
4243478,42894679,4,4
4244397,2786638,2,2
4220672,4329659,2,2
4243478,2725922,4,4
4240462,2787583,2,2
